## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
1001,headphone1,headphones,,https://sn-poornima89.github.io/testing_poor/images/products/headphone1.jpg,,,,,,,,,,,,,,,
1002,headphone2,headphones,,https://sn-poornima89.github.io/testing_poor/images/products/hs2.jpg,,,,,,,,,,,,,,,
1003,headphone3,headphones,,https://sn-poornima89.github.io/testing_poor/images/products/hs3.jpg,,,,,,,,,,,,,,,
1004,headphone4,headphones,,https://sn-poornima89.github.io/testing_poor/images/products/hs4.jpg,,,,,,,,,,,,,,,
2001,laptop1,laptops,,https://sn-poornima89.github.io/testing_poor/images/products/laptop1.jpg,,,,,,,,,,,,,,,
2002,laptop2,laptops,,https://sn-poornima89.github.io/testing_poor/images/products/laptop2.jpg,,,,,,,,,,,,,,,
2003,laptop3,laptops,,https://sn-poornima89.github.io/testing_poor/images/products/laptop3.jpg,,,,,,,,,,,,,,,
2004,laptop4,laptops,,https://sn-poornima89.github.io/testing_poor/images/products/laptop4.jpg,,,,,,,,,,,,,,,
3001,mouse1,mouse,,https://sn-poornima89.github.io/testing_poor/images/products/mouse1.jpg,,,,,,,,,,,,,,,
3002,mouse2,mouse,,https://sn-poornima89.github.io/testing_poor/images/products/mouse2.jpg,,,,,,,,,,,,,,,
3003,mouse3,mouse,,https://sn-poornima89.github.io/testing_poor/images/products/mouse3.jpg,,,,,,,,,,,,,,,
3004,mouse4,mouse,,https://sn-poornima89.github.io/testing_poor/images/products/mouse4.jpg,,,,,,,,,,,,,,,
